 cs, lang, valid, onsale, homepage, mailist, special, txt_title, txt_summary, rdate, stock, hide_stock_end, catalog_num, site_price, club_price, pricelist_price, buy_price, cash_price, delivery_price, vat_included, profit_percent, supply_days, payments, txt_warranty, txt_model, sale_type, product_type, delivery_points, supplier_id
3, heb,1,0,1,0,0, ערכת יצירה גן פיות בקופסה, ,2023-01-06 16:42:59,0,0,2006,149,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
5, heb,1,0,0,0,4, מארז מפתח קסמים 10 יח, גודל מיניאטורי כ- 2.5 סמ,2023-01-06 16:55:47,0,0,533,19.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
7, heb,1,0,0,0,1, מארז שרביט קסמים 10 יח, גודל מיניאטורי כ- 4 סמ,2023-01-06 16:55:47,0,0,532,19.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
9, heb,0,0,0,0,1, ספרון משאלות 4 יח', ,2023-01-06 16:55:47,0,0,803,9.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
11, heb,1,0,0,0,0, פטריות יער לעציץ 10 יחידות, ,2023-01-06 16:55:47,200,0,1411,5.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
13, heb,1,0,0,0,0, מפתח קסמים כסוף, ,2023-01-06 16:55:47,0,0,519,2.5,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
15, heb,1,0,0,0,0, מפתח קסמים ברונזה, ,2023-01-06 16:55:47,0,0,518,2.5,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
17, heb,1,0,0,0,0, שרביט קסמים כסוף, ,2023-01-06 16:55:47,0,0,517,2.5,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
19, heb,1,0,0,0,0, שרביט קסם ברונזה, גודל מיניאטורי כ- 4 סמ,2023-01-06 16:55:47,0,0,516,2.5,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
21, heb,1,0,0,0,0, פטריות יער מארז 10 יח', ,2023-01-06 16:55:47,0,0,1410,5.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
23, heb,0,0,0,0,0, פטריית יער קטנה , ,2023-01-06 16:55:47,0,1,1409,1.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
25, heb,0,0,0,0,1, בית פטריות , ,2023-01-06 16:55:47,0,1,1503,1.9,0,0,0,0,0,1,0,0,0, , , normal,0,1,0
